"Any Method","Any Method"
"Shipping Method","Shipping Method"
"Include Weekends","Include Weekends"
"Days to Deliver","Days to Deliver"
"Add Delivery Time Rule","Add Delivery Time Rule"
"NWhale Extensions","NWhale Extensions"
"Google Customer Reviews","Google Customer Reviews"
"Enable Google Customer Reviews","Enable Google Customer Reviews"
"Merchant ID","Merchant ID"
"from Google Merchant Center","from Google Merchant Center"
"Default Estimated Delivery Time","Default Estimated Delivery Time"
"in working days","in working days"
"Delivery Include Weekends","Delivery Include Weekends"
"Custom Delivery Time Rules","Custom Delivery Time Rules"
"Values for a specific carrier have higher priority than defaults","Values for a specific carrier have higher priority than defaults"
"Survey Settings","Survey Settings"
"Offer to all customer groups","Offer to all customer groups"
"Customer groups offered to take a survey","Customer groups offered to take a survey"
"A survey offering will be disabled if no group is selected.","A survey offering will be disabled if no group is selected."
"Survey Style","Survey Style"
"Survey Language","Survey Language"
"Badge Settings","Badge Settings"
"Enable Badge","Enable Badge"
"Badge Position","Badge Position"
"Badge Language","Badge Language"
"User Environment Defined","User Environment Defined"
